reading,DRILLHOLE_NO,basement_top_m,basement_unit,contact_cover_unit,contact_cover_from_m,contact_cover_to_m,contact_facies_class,contact_reduced_words,contact_oxidised_words,contact_description,contact_logging_date,contact_logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
pandurra_as_basement,6809,957.0,Mulgathing Complex,Carboniferous-Permian rocks,50.5,957.0,reduced,carbonaceous,,"Partly carbonaceous siltstone and mudstone, clay, coal",1993-07-21,False,LAKE PHILLIPSON BORE 1,134.6160621,-29.4943733,1901-11-09,South Australia. Department of Mines and Energy.,N,False,242.8
pandurra_as_basement,9178,42.67,St Peter Suite,Garford Formation,15.24,42.67,none,,,white/pink fine sand and clay,2010-04-29,False,,135.0974119,-32.7879893,1955-11-04,,Y,False,311.2
pandurra_as_basement,9181,44.2,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,44.2,oxidised,,limonite,"Sand, clay, limonite staining",1993-07-27,False,DME IR 5,135.0111509,-32.9299483,1959-05-15,South Australia. Department of Mines and Energy.,N,False,328.8
pandurra_as_basement,9186,6.17,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,6.17,none,,,"Sand, clay, grit; soil, calcrete near top",1993-10-12,False,SA BULK HANDLING MINNIPA SILO 1,135.1524389,-32.8556523,1958-07-16,South Australia. Department of Mines and Energy.,N,False,314.7
pandurra_as_basement,9188,20.5,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,20.5,none,,,"Sand, clay, gravel, soil",1993-10-12,False,SA BULK HANDLING MINNIPA SILO 3,135.1527729,-32.8561743,1966-07-28,South Australia. Department of Mines and Energy.,N,False,314.7
pandurra_as_basement,9189,0.0,Hiltaba Suite,,,,no cover interval logged,,,,,,SA RAILWAYS MDD 2,135.1909409,-32.8437743,1966-11-30,South Australia. Department of Mines and Energy.,N,False,311.7
pandurra_as_basement,9190,1.37,Hiltaba Suite,Pleistocene regolith/colluvial unit 4,0.0,1.37,oxidised,,red,Calcreted sand below red-bn soil,1993-10-12,False,SA RAILWAYS RH 1,135.1611299,-32.8150943,1968-06-18,South Australia. Department of Mines and Energy.,N,False,310.5
pandurra_as_basement,9200,2.13,Hiltaba Suite,Pleistocene regolith/colluvial unit 4,0.0,2.13,none,,,Clayey calc sand below bn soil,1993-10-13,False,SA RAILWAYS RH 11,135.1615989,-32.8151023,1968-06-18,South Australia. Department of Mines and Energy.,N,False,310.4
pandurra_as_basement,9214,4.11,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,4.11,none,,,Sand & clay below soil & calcrete,1993-10-13,False,SA RAILWAYS RH 25,135.1602219,-32.8159443,1968-06-19,South Australia. Department of Mines and Energy.,N,False,310.6
pandurra_as_basement,9330,0.0,Glenloth Granite,,,,no cover interval logged,,,,,,GLW 1,135.095737,-31.0750103,1969-11-27,South Australia. Department of Mines and Energy.,N,False,185.1
pandurra_as_basement,9439,2.16,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,2.16,none,,,Sand over gravel,1993-08-17,False,LINE 60E 10,135.1998129,-31.2301573,1969-10-24,Asarco (Australia) Pty Ltd.,N,False,183.4
pandurra_as_basement,9440,2.4,Hiltaba Suite,Tertiary-Pleistocene rocks,0.0,2.4,none,,,Sand over gravel,1993-08-17,False,LINE 60E 07,135.1998129,-31.2301573,1969-10-24,Asarco (Australia) Pty Ltd.,N,False,183.4
